VALID_NAME,LANGUAGE,COMMON_NAME_1,COMMON_NAME_2,COMMON_NAME_3
Amblyeleotris aurora,English,Beautiful prawn-goby,Pink-bar shrimp-goby,Pinkbar goby
Amblyeleotris biguttata,English,Twinspot shrimpgoby,,
Amblyeleotris bleekeri,English,Shrimp goby,,
Amblyeleotris callopareia,English,Beautiful-cheek shrimpgoby,,
Amblyeleotris diagonalis,English,Diagonal shrimp goby,Diagonal shrimp-goby,Diagonal shrimpgoby
Amblyeleotris downingi,English,Downing's shrimpgoby,Shoulder-spot shrimp-goby,
Amblyeleotris fasciata,English,Red-banded prawn-goby,Redbarred shrimp goby,
Amblyeleotris fontanesii,English,Giant prawn-goby,Giant shrimp goby,Giant shrimp-goby
Amblyeleotris guttata,English,Black-chest shrimp-goby,Blackchest shrimpgoby,Spotted prawn-goby
Amblyeleotris gymnocephala,English,Mask shrimpgoby,Masked shrimpgoby,Nakedhead shrimpgoby
Amblyeleotris latifasciata,English,Metallic shrimp-goby,Wide-barred shrimpgoby,
Amblyeleotris macronema,English,Longspine shrimpgoby,,
Amblyeleotris masuii,English,Masui's shrimp-goby,,
Amblyeleotris melanocephala,English,Blackhead shrimpgoby,,
Amblyeleotris ogasawarensis,English,Ogasawara shrimp-goby,Redspotted shrimpgoby,
Amblyeleotris periophthalma,English,Broad-banded shrimp-goby,Broad-banded shrimpgoby,Broadbanded shrimpgoby
Amblyeleotris randalli,English,Gold-barred shrimp-goby,Randall's prawn-goby,Sailfin shrimpgoby
Amblyeleotris rhyax,English,Volcano shrimpgoby,,
Amblyeleotris rubrimarginata,English,Redmargin shrimpgoby,,
Amblyeleotris steinitzi,English,Steinitz' prawn-goby,Steinitz' shrimp goby,Steinitz's shrimp-goby
Amblyeleotris sungami,English,Magnus' prawn-goby,,
Amblyeleotris triguttata,English,Triplespot shrimpgoby,,
Amblyeleotris wheeleri,English,Burgundy shrimp-goby,Burgundy shrimpgoby,Gorgeous goby
Amblyeleotris yanoi,English,Flag-tail shrimp-goby,Flagtail shrimpgoby,
Amblygaster clupeoides,English,Bleeker smoothbelly sardinella,Blue pilchard,Sharp-nosed pilchard
Amblygaster leiogaster,English,Blue sardine,Blue sprat,Smooth-belly sardinella
Amblygaster sirm,English,Northern pilchard,Smoothbelly sardinella,Spotted pilchard
Amblyglyphidodon aureus,English,Golden damsel,Golden damselfish,Golden devil
Amblyglyphidodon batunaorum,English,Batuna damsel,Batuna's damselfish,Green sergeant
Amblyglyphidodon curacao,English,Black-snouted sergeant-major,Clouded damselfish,Staghorn damsel
Amblyglyphidodon flavilatus,English,Yellowfin damsel,Yellowflank damsel,
